beat_index;bar;beat_in_bar;time_s;strength;strength_norm;accent;section;active_line_id;nearest_line_id;nearest_line_offset_ms
179;44;4;78.413787;7.557169;0.3300;light;pre_chorus_1;033;033;1521
180;45;1;78.854966;10.804445;0.5428;strong;pre_chorus_1;033;034;-1547
181;45;2;79.296145;22.593601;1.0000;strong;pre_chorus_1;033;034;-1106
182;45;3;79.783764;4.902597;0.1561;light;pre_chorus_1;033;034;-618
183;45;4;80.201723;24.741043;1.0000;strong;pre_chorus_1;033;034;-200
184;46;1;80.642902;22.388117;1.0000;strong;pre_chorus_1;034;034;241
185;46;2;81.060862;17.409767;0.9757;strong;pre_chorus_1;034;034;659
186;46;3;81.525261;0.951634;0.0000;light;pre_chorus_1;034;034;1123
187;46;4;81.989660;3.128552;0.0398;light;pre_chorus_1;034;035;-1570
188;47;1;82.430839;12.450048;0.6507;strong;pre_chorus_1;034;035;-1129
189;47;2;82.872018;12.778563;0.6722;medium;pre_chorus_1;034;035;-688
190;47;3;83.313197;15.679092;0.8623;strong;pre_chorus_1;034;035;-247
191;47;4;83.754376;12.004715;0.6215;medium;chorus_1;035;036;-87
192;48;1;84.195556;7.386715;0.3189;strong;chorus_1;036;036;355
193;48;2;84.636735;7.212620;0.3075;light;chorus_1;036;037;-552
194;48;3;85.077914;7.539957;0.3289;light;chorus_1;036;037;-111
195;48;4;85.542313;6.344062;0.2505;light;chorus_1;037;037;353
196;49;1;85.983492;16.494434;0.9157;strong;chorus_1;037;038;-555
197;49;2;86.424671;3.929853;0.0923;light;chorus_1;037;038;-113
198;49;3;86.865850;12.433092;0.6496;medium;chorus_1;038;038;328
199;49;4;87.307029;13.025321;0.6884;medium;chorus_1;038;038;769
200;50;1;87.748209;14.175415;0.7637;strong;chorus_1;038;039;-812
201;50;2;88.212608;5.263637;0.1797;light;chorus_1;038;039;-347
202;50;3;88.630567;14.593738;0.7911;strong;chorus_1;039;039;71
203;50;4;89.094966;13.819857;0.7404;medium;chorus_1;039;040;-404
204;51;1;89.536145;13.676992;0.7311;strong;chorus_1;040;040;37
205;51;2;89.977324;5.291975;0.1816;light;chorus_1;040;041;-461
206;51;3;90.418503;12.437368;0.6498;medium;chorus_1;040;041;-19
207;51;4;90.859683;14.194956;0.7650;medium;chorus_1;041;041;422
208;52;1;91.300862;15.867734;0.8746;strong;chorus_1;041;042;-674
209;52;2;91.765261;5.638097;0.2043;light;chorus_1;041;042;-210
210;52;3;92.183220;13.089023;0.6925;medium;chorus_1;042;042;208
211;52;4;92.647619;10.221180;0.5046;medium;chorus_1;042;043;-351
212;53;1;93.088798;13.818964;0.7404;strong;chorus_1;043;043;90
213;53;2;93.529977;6.322116;0.2491;light;chorus_1;043;044;-493
214;53;3;93.971156;10.657480;0.5332;medium;chorus_1;043;044;-52
215;53;4;94.412336;13.469727;0.7175;medium;chorus_1;044;044;389
216;54;1;94.853515;16.623180;0.9241;strong;chorus_1;044;045;-706
217;54;2;95.317914;4.217687;0.1112;light;chorus_1;044;045;-242
218;54;3;95.759093;9.940584;0.4862;medium;chorus_1;045;045;199
219;54;4;96.200272;11.725607;0.6032;medium;chorus_1;045;046;-86
220;55;1;96.641451;13.924343;0.7473;strong;chorus_1;046;046;355
221;55;2;97.105850;4.142021;0.1062;light;chorus_1;047;047;94
222;55;3;97.547029;7.804085;0.3462;light;chorus_1;047;047;535
223;55;4;97.964989;4.279538;0.1152;light;chorus_1;047;048;-235
224;56;1;98.406168;14.951639;0.8146;strong;instrumental;049;049;41
225;56;2;98.870567;3.940594;0.0930;light;instrumental;049;049;506
226;56;3;99.311746;15.363146;0.8416;strong;instrumental;049;050;-241
227;56;4;99.752925;11.351461;0.5787;medium;instrumental;050;050;200
228;57;1;100.217324;8.138352;0.3681;strong;instrumental;050;051;-525
229;57;2;100.658503;8.002743;0.3592;light;instrumental;050;051;-83
230;57;3;101.099683;12.331546;0.6429;medium;instrumental;051;051;358
231;57;4;101.540862;12.869126;0.6781;medium;instrumental;051;052;-323
232;58;1;101.982041;15.428657;0.8459;strong;instrumental;052;052;118
233;58;2;102.423220;7.639181;0.3354;light;instrumental;052;052;559
234;58;3;102.864399;16.472836;0.9143;strong;instrumental;052;053;-320
235;58;4;103.305578;15.615656;0.8581;strong;instrumental;053;053;122
236;59;1;103.746757;12.865246;0.6779;strong;instrumental;053;053;563
237;59;2;104.211156;10.588990;0.5287;medium;instrumental;053;054;-161
238;59;3;104.652336;14.610981;0.7923;strong;instrumental;054;054;280
239;59;4;105.093515;16.081364;0.8886;strong;instrumental;054;055;-466
240;60;1;105.534694;17.820507;1.0000;strong;instrumental;054;055;-25
241;60;2;105.975873;2.020771;0.0000;light;verse_2;055;056;-325
242;60;3;106.417052;10.084089;0.4956;medium;verse_2;056;056;116
243;60;4;106.881451;7.559476;0.3302;light;verse_2;056;056;580
244;61;1;107.322630;9.798822;0.4769;strong;verse_2;056;056;1022
245;61;2;107.763810;6.409651;0.2548;light;verse_2;056;056;1463
246;61;3;108.204989;7.397539;0.3196;light;verse_2;056;056;1904
247;61;4;108.646168;10.080862;0.4954;medium;verse_2;056;056;2345
248;62;1;109.087347;8.962597;0.4221;strong;verse_2;056;056;2786
249;62;2;109.551746;3.282701;0.0499;light;verse_2;056;057;-2378
250;62;3;109.969705;12.047820;0.6243;medium;verse_2;056;057;-1960
251;62;4;110.410884;11.730768;0.6035;medium;verse_2;056;057;-1519
252;63;1;110.875283;11.993082;0.6207;strong;verse_2;056;057;-1055
253;63;2;111.316463;5.844928;0.2178;light;verse_2;056;057;-614
254;63;3;111.757642;6.561701;0.2648;light;verse_2;056;057;-172
255;63;4;112.198821;9.537436;0.4598;light;verse_2;057;057;269
256;64;1;112.640000;7.883658;0.3514;strong;verse_2;057;057;710
257;64;2;113.081179;6.735271;0.2762;light;verse_2;057;057;1151
258;64;3;113.522358;12.902918;0.6803;medium;verse_2;057;057;1592
259;64;4;113.986757;8.422502;0.3867;light;verse_2;057;057;2057
260;65;1;114.427937;6.717385;0.2750;strong;verse_2;057;057;2498
261;65;2;114.869116;6.529096;0.2627;light;verse_2;057;058;-2691
262;65;3;115.333515;12.845751;0.6766;medium;verse_2;057;058;-2226
263;65;4;115.774694;9.677044;0.4690;light;verse_2;057;058;-1785
264;66;1;116.192653;26.870169;1.0000;strong;verse_2;057;058;-1367
265;66;2;116.657052;4.460756;0.1271;light;verse_2;057;058;-903
266;66;3;117.098231;5.572760;0.2000;light;verse_2;057;058;-462
267;66;4;117.539410;10.524328;0.5245;medium;verse_2;057;058;-21
268;67;1;117.980590;13.281455;0.7051;strong;verse_2;058;058;421
269;67;2;118.444989;2.730552;0.0137;light;verse_2;058;058;885
270;67;3;118.886168;7.723016;0.3409;light;verse_2;058;059;-674
271;67;4;119.304127;15.953734;0.8803;strong;verse_2;058;059;-256
272;68;1;119.745306;22.684334;1.0000;strong;verse_2;059;059;185
273;68;2;120.209705;5.922169;0.2229;light;verse_2;059;059;650
274;68;3;120.650884;6.431166;0.2562;light;verse_2;059;060;-909
275;68;4;121.092063;9.658531;0.4677;light;verse_2;059;060;-468
276;69;1;121.533243;8.551779;0.3952;strong;verse_2;059;060;-27
277;69;2;121.974422;6.946054;0.2900;light;verse_2;060;060;414
278;69;3;122.415601;7.328767;0.3151;light;verse_2;060;060;856
279;69;4;122.856780;10.230970;0.5052;medium;verse_2;060;061;-506
280;70;1;123.297959;7.519121;0.3275;strong;verse_2;060;061;-65
281;70;2;123.739138;0.000000;0.0000;light;verse_2;061;061;376
282;70;3;124.203537;9.217633;0.4388;light;verse_2;061;062;-799
283;70;4;124.644717;17.300747;0.9685;strong;verse_2;061;062;-358
284;71;1;125.085896;11.446754;0.5849;strong;verse_2;062;062;83
285;71;2;125.527075;6.145953;0.2376;light;verse_2;062;062;524
286;71;3;125.968254;6.306698;0.2481;light;verse_2;062;063;-592
287;71;4;126.409433;14.264618;0.7696;medium;verse_2;062;063;-151
288;72;1;126.850612;17.181236;0.9607;strong;verse_2;063;063;291
289;72;2;127.315011;8.211466;0.3729;light;verse_2;063;063;755
290;72;3;127.756190;8.425982;0.3870;light;verse_2;063;064;-528
291;72;4;128.197370;16.730114;0.9311;strong;verse_2;063;064;-87
292;73;1;128.638549;9.493019;0.4569;strong;verse_2;064;064;355
293;73;2;129.102948;2.637699;0.0077;light;verse_2;064;064;819
294;73;3;129.520907;14.594030;0.7912;strong;verse_2;064;065;-401
295;73;4;129.985306;10.530895;0.5249;medium;verse_2;065;065;63
296;74;1;130.426485;10.867346;0.5470;strong;verse_2;065;065;504
297;74;2;130.867664;2.336038;0.0000;light;verse_2;065;066;-692
298;74;3;131.308844;9.526726;0.4591;light;verse_2;065;066;-251
299;74;4;131.750023;14.674098;0.7964;strong;verse_2;066;066;190
300;75;1;132.191202;13.302147;0.7065;strong;verse_2;066;066;631
301;75;2;132.655601;7.508047;0.3268;light;verse_2;066;067;-904
302;75;3;133.073560;12.659708;0.6644;medium;verse_2;066;067;-486
303;75;4;133.537959;13.491911;0.7189;medium;verse_2;066;067;-22
304;76;1;133.979138;17.298302;0.9684;strong;verse_2;067;067;419
305;76;2;134.420317;1.574637;0.0000;light;verse_2;067;067;860
306;76;3;134.861497;9.902740;0.4837;medium;verse_2;067;068;-699
307;76;4;135.302676;10.889257;0.5484;medium;verse_2;067;068;-257
308;77;1;135.743855;14.180111;0.7640;strong;verse_2;068;068;184
309;77;2;136.208254;2.724744;0.0134;light;verse_2;068;068;648
310;77;3;136.649433;7.762143;0.3435;light;verse_2;068;069;-784
311;77;4;137.090612;12.042923;0.6240;medium;verse_2;068;069;-342
312;78;1;137.531791;13.930387;0.7477;strong;verse_2;069;069;99
313;78;2;137.972971;1.729254;0.0000;light;verse_2;069;069;540
314;78;3;138.414150;6.308492;0.2482;light;verse_2;069;070;-892
315;78;4;138.855329;9.599377;0.4639;light;verse_2;069;070;-451
316;79;1;139.319728;8.567039;0.3962;strong;verse_2;070;070;14
317;79;2;139.760907;2.452150;0.0000;light;verse_2;070;070;455
318;79;3;140.202086;0.384674;0.0000;light;verse_2;070;071;-583
319;79;4;140.643265;6.867492;0.2848;light;verse_2;070;071;-142
320;80;1;141.084444;1.593693;0.0000;strong;verse_2;071;071;299
321;80;2;141.525624;3.504325;0.0644;light;verse_2;071;071;741
322;80;3;141.990023;9.579921;0.4626;light;verse_2;071;072;-570
323;80;4;142.431202;6.087027;0.2337;light;verse_2;071;072;-129
324;81;1;142.872381;3.051308;0.0348;strong;pre_chorus_2;072;073;-36
325;81;2;143.313560;3.827368;0.0856;light;pre_chorus_2;073;073;406
326;81;3;143.754739;6.846216;0.2834;light;pre_chorus_2;073;073;847
327;81;4;144.195918;7.161858;0.3041;light;pre_chorus_2;073;074;-1216
328;82;1;144.637098;15.244797;0.8338;strong;pre_chorus_2;073;074;-775
329;82;2;145.101497;1.287554;0.0000;light;pre_chorus_2;073;074;-311
330;82;3;145.542676;1.752434;0.0000;light;pre_chorus_2;074;074;131
331;82;4;145.983855;7.503018;0.3265;light;pre_chorus_2;074;074;572
332;83;1;146.425034;9.990518;0.4895;strong;pre_chorus_2;074;074;1013
333;83;2;146.866213;2.229732;0.0000;light;pre_chorus_2;074;075;-1051
334;83;3;147.284172;10.101434;0.4968;medium;pre_chorus_2;074;075;-633
335;83;4;147.748571;10.011526;0.4909;medium;pre_chorus_2;074;075;-168
336;84;1;148.212971;9.617638;0.4651;strong;pre_chorus_2;075;075;296
337;84;2;148.654150;0.951795;0.0000;light;pre_chorus_2;075;075;737
338;84;3;149.095329;2.086197;0.0000;light;pre_chorus_2;075;075;1178
339;84;4;149.536508;8.375578;0.3837;light;pre_chorus_2;075;076;-1023
340;85;1;149.977687;4.984069;0.1614;strong;pre_chorus_2;075;076;-582
341;85;2;150.418866;5.246552;0.1786;light;pre_chorus_2;075;076;-141
342;85;3;150.836825;4.463504;0.1273;light;pre_chorus_2;076;076;277
343;85;4;151.301224;14.398790;0.7784;medium;pre_chorus_2;076;076;741
344;86;1;151.742404;13.453311;0.7164;strong;pre_chorus_2;076;076;1182
345;86;2;152.206803;17.214413;0.9629;strong;pre_chorus_2;076;076;1647
346;86;3;152.647982;1.599978;0.0000;light;pre_chorus_2;076;076;2088
347;86;4;153.089161;18.964148;1.0000;strong;pre_chorus_2;076;076;2529
348;87;1;153.530340;13.615142;0.7270;strong;pre_chorus_2;076;076;2970
349;87;2;153.948299;8.620736;0.3997;light;pre_chorus_2;076;077;-2758
350;87;3;154.412698;1.403946;0.0000;light;pre_chorus_2;076;077;-2293
351;87;4;154.853878;3.311702;0.0518;light;pre_chorus_2;076;077;-1852
352;88;1;155.318277;9.554234;0.4609;strong;pre_chorus_2;076;077;-1388
353;88;2;155.759456;11.980401;0.6199;medium;pre_chorus_2;076;077;-947
354;88;3;156.200635;13.680996;0.7313;medium;pre_chorus_2;076;077;-505
355;88;4;156.641814;15.495663;0.8502;strong;pre_chorus_2;076;077;-64
356;89;1;157.082993;12.211121;0.6350;strong;chorus_2;077;077;377
357;89;2;157.524172;1.532685;0.0000;light;chorus_2;077;078;-36
358;89;3;157.965351;12.880392;0.6789;medium;chorus_2;078;078;405
359;89;4;158.406531;0.145510;0.0000;light;chorus_2;078;079;-281
360;90;1;158.847710;16.391281;0.9089;strong;chorus_2;079;079;160
361;90;2;159.312109;6.679727;0.2725;light;chorus_2;079;080;-504
362;90;3;159.753288;9.767296;0.4749;light;chorus_2;079;080;-63
363;90;4;160.194467;9.522272;0.4588;light;chorus_2;080;080;378
364;91;1;160.635646;15.147175;0.8274;strong;chorus_2;080;080;820
365;91;2;161.076825;3.484899;0.0632;light;chorus_2;080;081;-483
366;91;3;161.518005;13.533032;0.7216;medium;chorus_2;080;081;-42
367;91;4;161.982404;12.396674;0.6472;medium;chorus_2;081;081;422
368;92;1;162.423583;10.724451;0.5376;strong;chorus_2;081;082;-57
369;92;2;162.864762;8.587272;0.3975;light;chorus_2;082;082;384
370;92;3;163.282721;13.593031;0.7256;medium;chorus_2;082;083;-119
371;92;4;163.747120;9.291147;0.4437;light;chorus_2;083;083;345
372;93;1;164.188299;16.094349;0.8895;strong;chorus_2;083;084;-780
373;93;2;164.652698;4.674179;0.1411;light;chorus_2;083;084;-315
374;93;3;165.093878;11.891560;0.6141;medium;chorus_2;084;084;126
375;93;4;165.535057;6.384882;0.2532;light;chorus_2;084;085;-446
376;94;1;165.976236;9.541617;0.4601;strong;chorus_2;084;085;-5
